,model,run_type,accuracy,average precision,balanced accuracy,AUROC
49,FFNN_2,test,0.8787160871226596,0.20749898888760204,0.540072311539396,0.6333214710830738
50,FFNN_2,train,0.9845427796247468,0.9424702037445791,0.9430364509851998,0.9703274435108327
51,FFNN_2,test,0.8780282766526557,0.20742647137531195,0.5574372310616662,0.6405647743455514
52,FFNN_2,train,0.9839122626007872,0.9411477314813754,0.9377729043135001,0.9701295829828676
53,FFNN_2,test,0.8800917080626671,0.2116323614956476,0.5541541456872979,0.6235179825357329
54,FFNN_2,train,0.9830333600825404,0.9375862402346417,0.9459939118134508,0.9685793853168293
55,FFNN_2,test,0.8717615590370653,0.2270434377295808,0.572632035457568,0.6415524066424501
56,FFNN_2,train,0.9817150063051703,0.9360561589130352,0.9252171150013957,0.9677161530848946
57,FFNN_2,test,0.8823844096293466,0.21987396163804857,0.5399057581638836,0.6475857296206643
58,FFNN_2,train,0.9840077954832053,0.9406003682740041,0.9405985772768339,0.9704294083511664
59,FFNN_2,test,0.8819258693160107,0.22591674588078559,0.5621533213788097,0.6367379837045285
60,encoder_FFNN,train,0.8937292215980741,0.329221874501129,0.5,0.8254170768629785
61,encoder_FFNN,test,0.8937714940771876,0.24912257512624603,0.5,0.6783128742837282
62,encoder_FFNN,train,0.8937292215980741,0.30909488878373187,0.5,0.8062317971542955
63,encoder_FFNN,test,0.8937714940771876,0.22386180521971522,0.5,0.6683573192749775
64,encoder_FFNN,train,0.8953532805991823,0.3244112780239949,0.5096212982473425,0.7629695909850781
65,encoder_FFNN,test,0.8949942682460833,0.25491179292848826,0.5079741081012915,0.6652669929041802
66,encoder_FFNN,train,0.8937292215980741,0.3127331672271528,0.5,0.7920283232097252
67,encoder_FFNN,test,0.8937714940771876,0.2399260353542304,0.5,0.6661298101322276
68,encoder_FFNN,train,0.8937292215980741,0.28479652227240665,0.5,0.777284698518318
69,encoder_FFNN,test,0.8937714940771876,0.23617981942700017,0.5,0.6821650708505449
70,encoder_FFNN,train,0.8937292215980741,0.29134818254712624,0.5,0.7772383784681499
71,encoder_FFNN,test,0.8937714940771876,0.23580667749895964,0.5,0.6910773527394416
72,encoder_FFNN,train,0.8937292215980741,0.2974446891683109,0.5,0.7867174532903556
73,encoder_FFNN,test,0.8937714940771876,0.22541880165559305,0.5,0.6630990615801502
74,encoder_FFNN,train,0.8937292215980741,0.280062085267458,0.5,0.7536629546667888
75,encoder_FFNN,test,0.8937714940771876,0.23635630387453999,0.5,0.6742913253834726
76,encoder_FFNN,train,0.8937292215980741,0.30207626802226767,0.5,0.7809495980814127
77,encoder_FFNN,test,0.8937714940771876,0.23372083347763992,0.5,0.6759530144161712
78,encoder_FFNN,train,0.8937292215980741,0.30232184282533847,0.5,0.7829532525492594
79,encoder_FFNN,test,0.8937714940771876,0.24365611829599,0.5,0.6750537492195212
80,random_forest_1,train,0.9999808934235164,0.9998393151345563,0.9999101042790364,0.9999101042790364
81,random_forest_1,test,0.8988918609094383,0.15367016705663022,0.536145158264154,0.536145158264154
82,random_forest_1,train,0.9999426802705491,0.9995179454036688,0.9997303128371089,0.9997303128371089
83,random_forest_1,test,0.8978219335116545,0.1539940474523717,0.5422027491303237,0.5422027491303238
84,random_forest_1,train,0.9999617868470327,0.9996786302691125,0.9998202085580726,0.9998202085580726
85,random_forest_1,test,0.8980512036683225,0.15114327384283605,0.5375766253179586,0.5375766253179586
86,random_forest_1,train,0.9999617868470327,0.9996786302691125,0.9998202085580726,0.9998202085580726
87,random_forest_1,test,0.8991211310661062,0.15755552345763058,0.5403938841231418,0.5403938841231418
88,random_forest_1,train,0.9999426802705491,0.9995179454036688,0.9997303128371089,0.9997303128371089
89,random_forest_1,test,0.8978219335116545,0.14994789741119363,0.5371314064609791,0.5371314064609791
90,random_forest_1,train,0.9999617868470327,0.9996786302691125,0.9998202085580726,0.9998202085580726
91,random_forest_1,test,0.8974398165838746,0.14666306240497318,0.5346989274762319,0.534698927476232
92,random_forest_1,train,0.9999617868470327,0.9996786302691125,0.9998202085580726,0.9998202085580726
93,random_forest_1,test,0.8986625907527703,0.15475540989236042,0.539186487492349,0.539186487492349
94,random_forest_1,train,0.9999808934235164,0.9998393151345563,0.9999101042790364,0.9999101042790364
95,random_forest_1,test,0.8988154375238823,0.15413179120239798,0.5373702406181083,0.5373702406181083
96,random_forest_1,train,0.9999808934235164,0.9998393151345563,0.9999101042790364,0.9999101042790364
97,random_forest_1,test,0.8973633931983187,0.1463592500452598,0.5346561741628502,0.5346561741628502
98,random_forest_1,train,1.0,1.0,1.0,1.0
99,random_forest_1,test,0.8969048528849828,0.143315481996298,0.5328148596983893,0.5328148596983893
100,decision_tree_2,train,0.899040849860522,0.1655094421478956,0.5511291483715729,0.5511291483715729
101,decision_tree_2,test,0.895987772258311,0.1483716445527581,0.541810587442829,0.541810587442829
102,decision_tree_2,train,0.9000152852611869,0.1646088742780586,0.5445457166556984,0.5445457166556984
103,decision_tree_2,test,0.8960641956438671,0.1428158267524639,0.535197203502696,0.535197203502696
104,decision_tree_2,train,0.899652260307998,0.16103113462418037,0.5416496007781307,0.5416496007781306
105,decision_tree_2,test,0.8967520061138708,0.14405973613701006,0.5343141476557959,0.5343141476557959
106,decision_tree_2,train,0.8994420879666781,0.16062013778957207,0.5424824968557254,0.5424824968557254
107,decision_tree_2,test,0.896369889186091,0.14408119185680401,0.5356851756730571,0.5356851756730571
108,decision_tree_2,train,0.8999197523787688,0.1691634233849008,0.551620853519512,0.5516208535195121
109,decision_tree_2,test,0.8951471150171952,0.1448470952599453,0.5400724653282931,0.5400724653282931
110,decision_tree_2,train,0.9000343918376705,0.16569640478338038,0.5460613289917713,0.5460613289917714
111,decision_tree_2,test,0.895987772258311,0.14257385581687393,0.5351544501893142,0.5351544501893142
112,decision_tree_2,train,0.8993656616607436,0.15835194379838657,0.5395883066561209,0.5395883066561209
113,decision_tree_2,test,0.8974398165838746,0.14716488177436654,0.5353328453099,0.5353328453099
114,decision_tree_2,train,0.8991745958959074,0.15651520176976846,0.5381349040961637,0.5381349040961637
115,decision_tree_2,test,0.8966755827283148,0.14013083283032396,0.5298339695067376,0.5298339695067376
116,decision_tree_2,train,0.8999006458022851,0.16553781456204597,0.5466993626029004,0.5466993626029003
117,decision_tree_2,test,0.8948414214749714,0.13642135279166806,0.531343561320247,0.5313435613202468
118,decision_tree_2,train,0.9003974167908594,0.17239176132620956,0.553393007671901,0.553393007671901
119,decision_tree_2,test,0.8951471150171952,0.1431613087531258,0.5381707118272889,0.5381707118272889
120,SGD_1,train,0.8902136115250869,0.11594974578268447,0.5153793982254059,0.515379398225406
121,SGD_1,test,0.8914023691249522,0.11825951340336885,0.5170582644615389,0.517058264461539
122,SGD_1,train,0.8863349764989109,0.15825089601960451,0.570158940154818,0.570158940154818
123,SGD_1,test,0.8837600305693543,0.15410971710070248,0.5685677024861513,0.5685677024861513
124,SGD_1,train,0.88801635522947,0.1317819241369037,0.5369616011973058,0.5369616011973057
125,SGD_1,test,0.8878104700038212,0.12781085722094648,0.5324815991584672,0.5324815991584672
126,SGD_1,train,0.8896595208070618,0.16288601683369863,0.5706723581866174,0.5706723581866174
127,SGD_1,test,0.8905617118838365,0.16783361715195233,0.5749084187118026,0.5749084187118026
128,SGD_1,train,0.8810997745423975,0.12321442137696653,0.5317455853313799,0.5317455853313798
129,SGD_1,test,0.8820787160871226,0.12296187338620508,0.5308598952390033,0.5308598952390033
130,SGD_1,train,0.8775077381634758,0.16386993749895948,0.5870022918104583,0.5870022918104583
131,SGD_1,test,0.8753534581581964,0.15374415200844205,0.5765431946875164,0.5765431946875162
132,SGD_1,train,0.8914555389965226,0.14948896409908702,0.5525883856204484,0.5525883856204484
133,SGD_1,test,0.8921666029805121,0.15083034452365537,0.5529851962807693,0.5529851962807693
134,SGD_1,train,0.8751385226795063,0.1614942959825591,0.5863896840670466,0.5863896840670465
135,SGD_1,test,0.876652655712648,0.16316452972110976,0.587095727436862,0.5870957274368619
136,SGD_1,train,0.8954297069051167,0.13363827253628346,0.5263766222049534,0.5263766222049534
137,SGD_1,test,0.8949942682460833,0.13097470864594934,0.5247729306934956,0.5247729306934956
138,SGD_1,train,0.8921624823264167,0.13327511747742293,0.5331030614543568,0.5331030614543568
139,SGD_1,test,0.8917844860527321,0.1293056949797967,0.5293164698681414,0.5293164698681414
